Node ID  | Type   | CC0          | CC1          | CO          
--------------------------------------------------------------
1        | PI     | 1            | 1            | 28          
5        | PI     | 1            | 1            | 28          
9        | PI     | 1            | 1            | 28          
13       | PI     | 1            | 1            | 28          
17       | PI     | 1            | 1            | 28          
21       | PI     | 1            | 1            | 28          
25       | PI     | 1            | 1            | 28          
29       | PI     | 1            | 1            | 28          
33       | PI     | 1            | 1            | 28          
37       | PI     | 1            | 1            | 28          
41       | PI     | 1            | 1            | 28          
45       | PI     | 1            | 1            | 28          
49       | PI     | 1            | 1            | 28          
53       | PI     | 1            | 1            | 28          
57       | PI     | 1            | 1            | 28          
61       | PI     | 1            | 1            | 28          
65       | PI     | 1            | 1            | 28          
69       | PI     | 1            | 1            | 28          
73       | PI     | 1            | 1            | 28          
77       | PI     | 1            | 1            | 28          
81       | PI     | 1            | 1            | 28          
85       | PI     | 1            | 1            | 28          
89       | PI     | 1            | 1            | 28          
93       | PI     | 1            | 1            | 28          
97       | PI     | 1            | 1            | 28          
101      | PI     | 1            | 1            | 28          
105      | PI     | 1            | 1            | 28          
109      | PI     | 1            | 1            | 28          
113      | PI     | 1            | 1            | 28          
117      | PI     | 1            | 1            | 28          
121      | PI     | 1            | 1            | 28          
125      | PI     | 1            | 1            | 28          
129      | PI     | 1            | 1            | 245         
130      | PI     | 1            | 1            | 245         
131      | PI     | 1            | 1            | 245         
132      | PI     | 1            | 1            | 245         
133      | PI     | 1            | 1            | 245         
134      | PI     | 1            | 1            | 245         
135      | PI     | 1            | 1            | 245         
136      | PI     | 1            | 1            | 245         
137      | PI     | 1            | 1            | 245         
250      | XOR    | 3            | 3            | 242         
251      | XOR    | 3            | 3            | 242         
252      | XOR    | 3            | 3            | 242         
253      | XOR    | 3            | 3            | 242         
254      | XOR    | 3            | 3            | 242         
255      | XOR    | 3            | 3            | 242         
256      | XOR    | 3            | 3            | 242         
257      | XOR    | 3            | 3            | 242         
258      | XOR    | 3            | 3            | 242         
259      | XOR    | 3            | 3            | 242         
260      | XOR    | 3            | 3            | 242         
261      | XOR    | 3            | 3            | 242         
262      | XOR    | 3            | 3            | 242         
263      | XOR    | 3            | 3            | 242         
264      | XOR    | 3            | 3            | 242         
265      | XOR    | 3            | 3            | 242         
266      | AND    | 2            | 3            | 243         
267      | AND    | 2            | 3            | 243         
268      | AND    | 2            | 3            | 243         
269      | AND    | 2            | 3            | 243         
270      | AND    | 2            | 3            | 243         
271      | AND    | 2            | 3            | 243         
272      | AND    | 2            | 3            | 243         
273      | AND    | 2            | 3            | 243         
274      | XOR    | 3            | 3            | 242         
275      | XOR    | 3            | 3            | 242         
276      | XOR    | 3            | 3            | 242         
277      | XOR    | 3            | 3            | 242         
278      | XOR    | 3            | 3            | 242         
279      | XOR    | 3            | 3            | 242         
280      | XOR    | 3            | 3            | 242         
281      | XOR    | 3            | 3            | 242         
282      | XOR    | 3            | 3            | 242         
283      | XOR    | 3            | 3            | 242         
284      | XOR    | 3            | 3            | 242         
285      | XOR    | 3            | 3            | 242         
286      | XOR    | 3            | 3            | 242         
287      | XOR    | 3            | 3            | 242         
288      | XOR    | 3            | 3            | 242         
289      | XOR    | 3            | 3            | 242         
290      | XOR    | 7            | 7            | 238         
293      | XOR    | 7            | 7            | 238         
296      | XOR    | 7            | 7            | 238         
299      | XOR    | 7            | 7            | 238         
302      | XOR    | 7            | 7            | 238         
305      | XOR    | 7            | 7            | 238         
308      | XOR    | 7            | 7            | 238         
311      | XOR    | 7            | 7            | 238         
314      | XOR    | 7            | 7            | 238         
315      | XOR    | 7            | 7            | 238         
316      | XOR    | 7            | 7            | 238         
317      | XOR    | 7            | 7            | 238         
318      | XOR    | 7            | 7            | 238         
319      | XOR    | 7            | 7            | 238         
320      | XOR    | 7            | 7            | 238         
321      | XOR    | 7            | 7            | 238         
338      | XOR    | 15           | 15           | 230         
339      | XOR    | 15           | 15           | 230         
340      | XOR    | 15           | 15           | 230         
341      | XOR    | 15           | 15           | 230         
342      | XOR    | 15           | 15           | 230         
343      | XOR    | 15           | 15           | 230         
344      | XOR    | 15           | 15           | 230         
345      | XOR    | 15           | 15           | 230         
346      | XOR    | 18           | 18           | 227         
347      | XOR    | 18           | 18           | 227         
348      | XOR    | 18           | 18           | 227         
349      | XOR    | 18           | 18           | 227         
350      | XOR    | 18           | 18           | 227         
351      | XOR    | 18           | 18           | 227         
352      | XOR    | 18           | 18           | 227         
353      | XOR    | 18           | 18           | 227         
354      | XOR    | 26           | 26           | 219         
367      | XOR    | 26           | 26           | 219         
380      | XOR    | 26           | 26           | 219         
393      | XOR    | 26           | 26           | 219         
406      | XOR    | 26           | 26           | 219         
419      | XOR    | 26           | 26           | 219         
432      | XOR    | 26           | 26           | 219         
445      | XOR    | 26           | 26           | 219         
554      | NOT    | 27           | 27           | 299 [TOP]   
555      | NOT    | 27           | 27           | 299 [TOP]   
556      | NOT    | 27           | 27           | 299 [TOP]   
557      | NOT    | 27           | 27           | 299 [TOP]   
558      | NOT    | 27           | 27           | 299 [TOP]   
559      | NOT    | 27           | 27           | 299 [TOP]   
560      | NOT    | 27           | 27           | 299 [TOP]   
561      | NOT    | 27           | 27           | 299 [TOP]   
562      | NOT    | 27           | 27           | 299 [TOP]   
563      | NOT    | 27           | 27           | 299 [TOP]   
564      | NOT    | 27           | 27           | 299 [TOP]   
565      | NOT    | 27           | 27           | 299 [TOP]   
566      | NOT    | 27           | 27           | 218         
567      | NOT    | 27           | 27           | 218         
568      | NOT    | 27           | 27           | 218         
569      | NOT    | 27           | 27           | 218         
570      | NOT    | 27           | 27           | 218         
571      | NOT    | 27           | 27           | 218         
572      | NOT    | 27           | 27           | 218         
573      | NOT    | 27           | 27           | 218         
574      | NOT    | 27           | 27           | 299 [TOP]   
575      | NOT    | 27           | 27           | 299 [TOP]   
576      | NOT    | 27           | 27           | 299 [TOP]   
577      | NOT    | 27           | 27           | 299 [TOP]   
578      | NOT    | 27           | 27           | 299 [TOP]   
579      | NOT    | 27           | 27           | 299 [TOP]   
580      | NOT    | 27           | 27           | 299 [TOP]   
581      | NOT    | 27           | 27           | 299 [TOP]   
582      | NOT    | 27           | 27           | 299 [TOP]   
583      | NOT    | 27           | 27           | 299 [TOP]   
584      | NOT    | 27           | 27           | 299 [TOP]   
585      | NOT    | 27           | 27           | 299 [TOP]   
586      | NOT    | 27           | 27           | 218         
587      | NOT    | 27           | 27           | 218         
588      | NOT    | 27           | 27           | 218         
589      | NOT    | 27           | 27           | 218         
590      | NOT    | 27           | 27           | 218         
591      | NOT    | 27           | 27           | 218         
592      | NOT    | 27           | 27           | 218         
593      | NOT    | 27           | 27           | 218         
594      | AND    | 27           | 108          | 218         
595      | AND    | 27           | 108          | 218         
596      | AND    | 27           | 108          | 218         
597      | AND    | 27           | 108          | 218         
598      | AND    | 27           | 108          | 218         
599      | AND    | 27           | 108          | 218         
600      | AND    | 27           | 108          | 218         
601      | AND    | 27           | 108          | 218         
602      | OR     | 109 [TOP]    | 109          | 136         
607      | OR     | 109 [TOP]    | 109          | 136         
620      | AND    | 27           | 216          | 29          
625      | AND    | 27           | 216          | 29          
630      | AND    | 27           | 216          | 29          
635      | AND    | 27           | 216          | 29          
640      | AND    | 27           | 216          | 29          
645      | AND    | 27           | 216          | 29          
650      | AND    | 27           | 216          | 29          
655      | AND    | 27           | 216          | 29          
692      | AND    | 27           | 243 [TOP]    | 2           
693      | AND    | 27           | 243 [TOP]    | 2           
694      | AND    | 27           | 243 [TOP]    | 2           
695      | AND    | 27           | 243 [TOP]    | 2           
696      | AND    | 27           | 243 [TOP]    | 2           
697      | AND    | 27           | 243 [TOP]    | 2           
698      | AND    | 27           | 243 [TOP]    | 2           
699      | AND    | 27           | 243 [TOP]    | 2           
700      | AND    | 27           | 243 [TOP]    | 2           
701      | AND    | 27           | 243 [TOP]    | 2           
702      | AND    | 27           | 243 [TOP]    | 2           
703      | AND    | 27           | 243 [TOP]    | 2           
704      | AND    | 27           | 243 [TOP]    | 2           
705      | AND    | 27           | 243 [TOP]    | 2           
706      | AND    | 27           | 243 [TOP]    | 2           
707      | AND    | 27           | 243 [TOP]    | 2           
708      | AND    | 27           | 243 [TOP]    | 2           
709      | AND    | 27           | 243 [TOP]    | 2           
710      | AND    | 27           | 243 [TOP]    | 2           
711      | AND    | 27           | 243 [TOP]    | 2           
712      | AND    | 27           | 243 [TOP]    | 2           
713      | AND    | 27           | 243 [TOP]    | 2           
714      | AND    | 27           | 243 [TOP]    | 2           
715      | AND    | 27           | 243 [TOP]    | 2           
716      | AND    | 27           | 243 [TOP]    | 2           
717      | AND    | 27           | 243 [TOP]    | 2           
718      | AND    | 27           | 243 [TOP]    | 2           
719      | AND    | 27           | 243 [TOP]    | 2           
720      | AND    | 27           | 243 [TOP]    | 2           
721      | AND    | 27           | 243 [TOP]    | 2           
